"Game ID";"Game Name"
"9135";"Rebelle"
"9560";"Brave - A Warrior's Tale"
"203074";"Bravoman (TGX)"
"10625";"Brawl Brothers (SNES)"
"10916";"Break In (TGX)"
"9139";"Breath Of Fire 2 (SNES)"
"10180";"Brico Party - Les As Du Bricolage"
"10923";"Broadway"
"9147";"Brothers In Arms - Double Time"
"9329";"Brothers In Arms - Earned In Blood"
"9246";"Brothers In Arms - Road To Hill 30"
"10828";"Bruiser And Scratch"
"10660";"Brunswick Cosmic Bowling"
"9991";"Brunswick Pro Bowling"
"195699";"Brunswick Zone Cosmic Bowling"
"9374";"Bubble Bobble (NES)"
"9272";"Bubble Bobble Plus"
"195703";"Buck Fever"
"10729";"Build'n Race"
"10059";"Build-a-bear Workshop"
"140341";"Build-a-bear Workshop - A Friend Fur All Seasons"
"195701";"Build-a-bear Workshop - Friendship Valley"
"8755";"Bully - Scholarship Edition"
"195715";"Burger Bot"
"195717";"Burger Island"
"203294";"BurgerTime (NES)"
"10094";"Burgertime World Tour"
"203708";"Burn the Rope"
"10641";"Burning Fight (NG)"
"202964";"Burning Force (Arcade)"
"9691";"Bust-a-move"
"250305";"Puzzle Bobble Plus!"
"9727";"Coiffure Académie"
"152802";"Battalion Wars 2"
"9889";"C'est Mon Anniversaire !"
"9929";"C'est Mon Cirque"
"10531";"C.i.d. 925 - An Ordinary Life"
"10364";"Cabela's - Trophy Bucks"
"9392";"Cabela's Adventure Camp"
"9468";"Cabela's African Adventures"
"9197";"Cabela's Big Game Hunter 2010"
"9794";"Cabela's Big Game Hunter 2012"
"9818";"Cabela's Dangerous Hunts 2009"
"9447";"Cabela's Dangerous Hunts 2011"
"9390";"Cabela's Dangerous Hunts 2013"
"10001";"Cabela's Hunting Expeditions"
"9986";"Cabela's Legendary Adventures"
"140532";"Cabela's Monster Buck Hunter"
"10174";"Cabela's North American Adventures"
"9890";"Cabela's Outdoor Adventures"
"9310";"Cabela's Survival - Shadows Of Katmai"
"10589";"Cadash (TGX)"
"140533";"Caduceus Z - Futatsu No Chou Shittou"
"9888";"Cake Mania - In The Mix !"
"10105";"California Games (C64)"
"10232";"Call For Heroes - Pompolic Wars"
"140531";"Call Of Duty - Modern Warfare - Reflex"
"8878";"Call Of Duty 3 - En Marche Vers Paris"
"8734";"Call Of Duty - World At War"
"8693";"Call Of Duty - Modern Warfare 3"
"8696";"Call Of Duty - Black Ops"
"8886";"Calling"
"9960";"Calvin Tucker's Redneck - Farm Animal Racing Tournament"
"10606";"Calvin Tucker's Redneck Jamboree"
"195723";"Canada Hunt"
"195725";"Candace Kane's Candy Factory"
"9077";"Captain America - Super Soldat"
"8954";"Captain Morgane Et La Tortue D'or"
"9880";"Captain Rainbow"
"10262";"Capucine"
"10704";"Cargasm"
"203682";"Carmen Sandiego Adventures in Math : The Big Ben Burglary"
"203684";"Carmen Sandiego Adventures in Math : The Case of the Crumbling Cathedral"
"203686";"Carmen Sandiego Adventures in Math : The Great Gateway Grab"
"203688";"Carmen Sandiego Adventures in Math : The Island of Diamonds"
"203690";"Carmen Sandiego Adventures in Math : The Lady Liberty Larceny"
"9357";"Carnival - Fête Foraine"
"9632";"Carnival - Fête Foraine - Nouvelles Attractions"
"10025";"Carnival Games - Mini-golf"
"203788";"Carnival King"
"8880";"Cars 2"
"9137";"Cars - La Coupe Internationale De Martin"
"8922";"Cars Race-o-rama"
"9189";"Cars Toon - Martin Se La Raconte"
"9069";"Cars"
"9470";"Cartoon Network - Punch Time Explosion Xl"
"10158";"Casper L'ecole De La Peur - La Terrifiante Journée De Sport"
"9810";"Castle Of Shikigami 3"
"9237";"Castlevania (NES)"
"9144";"Castlevania - The Adventure Rebirth"
"9464";"Castlevania 2 - Simon's Quest (NES)"
"9133";"Castlevania 3: Dracula's Curse (NES)"
"8891";"Castlevania Judgment"
"9210";"Castlevania: Rondo Of Blood (TGX)"
"9938";"Cate West - Les Affaires Non Classées"
"9100";"Cave Story"
"10871";"Caveman Rock"
"9883";"Centipede - Infestation"
"10204";"Cérébral Challenge"
"140358";"Big Brain Academy For Wii"
"9155";"Cérébrale Académie"
"152862";"Smarty Pants - Trivia Fun For Everyone!"
"9296";"Cerebrum"
"203318";"Chack'n Pop (NES)"
"195785";"Challenge Me - Word Puzzles"
"9924";"Challenge Me - Brain Puzzles 2"
"203320";"Challenger (NES)"
"9474";"Champion Jockey - G1 Jockey And Gallop Racer"
"203078";"Champion Wrestler (TGX)"
"203322";"Championship Lode Runner (NES)"
"10333";"Chantier En Folie"
"9710";"Chaos À La Maison"
"9829";"Chaotic - Shadow Warriors"
"10241";"Charm Girls Club - Pajama Party"
"10363";"Chase H.Q. (TGX)"
"10516";"Chef Cuistot Party"
"9733";"Cheggers Party Quiz"
"140534";"Cheoeum Mannaneun Wii"
"10245";"Chess Challenge!"
"10639";"Chess Crusade"
"9410";"Cheval And Poney - Mon Haras"
"10396";"Chevrolet Camaro  Wild Ride"
"10493";"Chew Man Fu (TGX)"
"9750";"Chibi-robo!"
"10400";"Chick Chick Boom"
"10329";"Chicken Blaster"
"9475";"Disney's Chicken Little - Ace In Action"
"9528";"Chicken Riot"
"9734";"Chicken Shoot"
"203080";"China Warrior (TGX)"
"10648";"Chindôchû!! Pole No Daibôken"
"203808";"Chindouchuu!! Paul no Daibouken"
"10088";"Cho Aniki - Super Big Brothers (TGX)"
"140535";"Chocobo No Fushigi Na Dungeon - Toki-wasure No Meikyuu"
"202970";"Chouzetsu Rinjin: Berabow Man (Arcade)"
"10750";"Christmas Clix"
"8776";"Chrono Trigger (SNES)"
"10207";"Chronos Twins Dx"
"10284";"Chrysler Classic Racing"
"195729";"Chuck E. Cheese's Party Games"
"195731";"Chuck E. Cheese's Sports Games"
"195733";"Chuck E. Cheese's Super Collection"
"9956";"Cid The Dummy"
"9764";"Circus Party"
"9941";"City Builder"
"10646";"City Connection (NES)"
"8915";"Civilization Revolution"
"10439";"Classic British Motor Racing"
"10725";"Clay Fighter (SMD)"
"195735";"Clever Kids - Creepy Crawlies"
"10383";"Clever Kids - Dino Land"
"10819";"Clever Kids - Farmyard Fun"
"10507";"Clever Kids - Pirates"
"10496";"Clever Kids - Pony World"
"203432";"Clock Tower (SNES)"
"9656";"Tempête De Boulettes Géantes"
"10683";"Clu Clu Land (NES)"
"9797";"Club Penguin Game Day!"
"10240";"Cocoto - Platform Jumper"
"9580";"Cocoto Festival"
"5325";"Cocoto Fishing Master"
"10382";"Cocoto Funfair"
"9659";"Cocoto Kart Racer"
"195737";"Cocoto Kart Racer 2"
"9203";"Cocoto Magic Circus"
"9755";"Cocoto Surprise"
"9736";"Code De La Route"
"9004";"Code Lyoko - Plongez Vers L'infini"
"195739";"Cold Stone Creamery - Scoop It Up"
"8928";"Dirt 2"
"9959";"Colorz"
"10530";"Columns 3 (SMD)"
"10772";"Columns 3 - Revenge Of Columns (SMD)"
"10019";"Combat Wings - The Great Battles Of World War 2"
"203434";"Combatribes (SNES)"
"9753";"Comix Zone (SMD)"
"8857";"Conduit 2"
"202862";"Contra (MSX)"
"9759";"Contra Rebirth"
"195741";"Cook Wars"
"9188";"Cooking Mama"
"140692";"Cooking Mama - World Kitchen"
"9283";"Cooking Mama 2 - Tous À Table !"
"202602";"Mama's 2-Pack"
"9457";"Cooking Mama World - Babysitting Mama"
"140691";"Cooking Mama - Cook Off"
"10839";"Copter Crisis"
"9259";"Coraline"
"10573";"Cosmic Walker"
"10830";"Cosmo Gang - The Puzzle (Arcade)"
"203436";"Cosmo Gang : The Puzzle (SNES)"
"202972";"Cosmo Gang: The Video (Arcade)"
"10281";"Counter Force"
"9444";"Country Dance"
"195783";"Country Dance - 30 Chart-topping Hits!!!"
"10049";"Country Dance 2"
"8889";"Fortune Street"
"203790";"Cozy Fire"
"10051";"Crack Down (SMD)"
"9747";"Cranium Kabookii"
"203312";"Crash 'n the Boys : Street Challenge (NES)"
"203372";"Crash 'n the Boys: Ice Challenge (NES)"
"8924";"Crash - Mind Over Mutant"
"8997";"Crash Of The Titans"
"10494";"Cratermaze (TGX)"
"10649";"Crayola Colorful Journey"
"142984";"Crayon Shin-chan - Saikyou Kazoku Kasukabe King Wii"
"195779";"Crazy Chicken - Carnival"
"195777";"Crazy Chicken Tales"
"142983";"Crazy Climber (Arcade)"
"10222";"Crazy Machines"
"10398";"Crazy Quiz"
"9601";"Create"
"10677";"Crescendo"
"10708";"Cricket Challenge"
"10913";"Critter Round-up"
"203252";"Crossed Swords (NG)"
"10678";"Crossword"
"9702";"Cruis'n"
"10200";"Cruis'n USA (N64)"
"10706";"Cruise Party"
"10898";"Cruise Ship Vacation Games"
"9773";"Crystal Defenders R1"
"9976";"Crystal Defenders R2"
"9554";"Csi - Deadly Intent"
"9200";"Experts - Complot À Las Vegas, Les"
"9605";"Cuisine Party"
"9016";"Cursed Mountain"
"202844";"Custom Robo V2 (N64)"
"10778";"Customplay Golf 2009"
"202974";"Cyber Sled (Arcade)"
"9245";"Cyberbike"
"10275";"Cybernator (SNES)"
"10776";"Cybernoid - The Fighting Machine (C64)"
"203112";"Dai Makai-Mura (TGX)"
"195775";"Daikaijuu Battle - Ultra Coliseum"
"195771";"Daikaijuu Battle - Ultra Coliseum Dx - Ultra Senshi Daishuuketsu"
"9856";"Daisy Fuentes Pilates"
"10268";"Dance ! It's Your Stage"
"9706";"Dance Dance Revolution"
"140536";"Dance Dance Revolution - Hottest Party"
"195769";"Dance Dance Revolution - Music Fit"
"195631";"Dance Dance Revolution 2"
"10062";"Dance Dance Revolution - Disney Grooves"
"9893";"Dance Dance Revolution - Hottest Party 2"
"9462";"Dance Dance Revolution - Hottest Party 3"
"9274";"Dance Dance Revolution - Hottest Party 4"
"9332";"Dance Dance Revolution - Hottest Party 5"
"9537";"Dance Dance Revolution Winx Club"
"9229";"Dance Juniors"
"9952";"Dance On Broadway"
"10084";"Dance Party Club Hits"
"10039";"Dance Party Pop Hits"
"10256";"Dance Sensation"
"10444";"Dance Workout"
"10893";"Dancing On Ice"
"9564";"Dancing Stage Hottest Party"
"10053";"Dancing With The Stars"
"140693";"Dancing With The Stars - We Dance!"
"203092";"Darius Plus (TGX)"
"203438";"Darius Twin (SNES)"
"10700";"Dart Rage"
"10510";"Darts Wii"
"195773";"Darts Wii Dx"
"9627";"Data East Arcade Classics"
"9803";"Dave Mirra Bmx Challenge"
"8980";"De Blob"
"9073";"De Blob 2"
"203094";"Dead Moon (TGX)"
"8854";"Dead Rising - Chop Till You Drop"
"8916";"Dead Space Extraction"
"10313";"Deadliest Catch - Sea Of Chaos"
"10436";"Deadline"
"9086";"Deadly Creatures"
"142985";"Deal Or No Deal"
"195765";"Deal Or No Deal - Special Edition"
"195767";"Deal Or No Deal - The Banker Is Back!"
"9502";"Death Jr. - Root Of Evil"
"9217";"Sports Island"
"142986";"Deca Sports"
"142987";"Deca Sports 2"
"142988";"Deca Sports 3"
"10086";"Deepak Chopra's Leela"
"203740";"Deer Captor"
"9376";"Deer Drive"
"10002";"Deer Drive Legends"
"9199";"Def Jam Icon"
"9679";"Def Jam Rapstar"
"10568";"Defend Your Castle"
"10417";"Defendin' De Penguin"
"10602";"Dekotora Matsuri"
"195795";"Densha De Go! Shinkansen Ex - San'you Shinkansen Hen"
"195685";"Der Bauernhof"
"195711";"Der Fluch Der Osterinsel"
"10740";"Der Langrisser (SNES)"
"203742";"Derby Dogs"
"9425";"Countdown - The Game"
"10068";"Descent"
"9163";"Dessine Ton Aventure"
"9206";"Destroy All Humans ! Lâchez Le Gros Willy !"
"10462";"Detana!! Twinbee (TGX)"
"9014";"Détective Conan - Enquête À Mirapolis"
"9623";"Devil Kings 2 - Heroes"
"10614";"Devil World (NES)"
"9862";"Devil's Crush (TGX)"
"9066";"Dewy's Adventure"
"9517";"Diabolik - The Original Sin"
"10889";"Diatomic"
"203108";"Dig Dug (Arcade)"
"10460";"Dig Dug (NES)"
"202952";"Dig Dug 2 (Arcade)"
"203116";"Digital Champ Battle Boxing (TGX)"
"9365";"Diner Dash"
"9728";"Dino Strike"
"8844";"Disaster - Day Of Crisis"
"10517";"Discipline"
"9904";"Disney Channel All Star Party"
"8750";"Disney Epic Mickey"
"142989";"Disney Epic Mickey 2 - The Power Of Two"
"8745";"Disney Infinity"
"195763";"Disney Phineas And Ferb - Quest For Cool Stuff"
"8875";"Disney Planes"
"195627";"Disney Planes - Fire And Rescue"
"9164";"Disney Princesse Livres Enchantés"
